case_id,method,source_type,source_id,target_type,label_source,tags,hybrid_ready_expected,cold_start,latency_ms,time_to_first_usable_ms,result_count,coverage,explanation_coverage,cold_start_success,mrr,precision_at_5,recall_at_5,ndcg_at_5,hit_rate_at_5
prj_001_to_enterprise,random,project,prj_001,enterprise,admin_review,[],False,False,2254.27,2254.27,5,0.7142857142857143,1.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_001_to_enterprise,topic_overlap,project,prj_001,enterprise,admin_review,[],False,False,6.3,6.3,1,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,1.0,1.0
prj_001_to_enterprise,embedding_only,project,prj_001,enterprise,admin_review,[],False,False,25.87,25.87,5,0.7142857142857143,0.0,1.0,1.0,0.2,1.0,1.0,1.0
prj_001_to_enterprise,hybrid,project,prj_001,enterprise,admin_review,[],False,False,1772.63,1772.63,5,0.7142857142857143,1.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_enterprise,random,project,prj_005,enterprise,admin_review,[],False,False,1845.05,1845.05,5,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_enterprise,topic_overlap,project,prj_005,enterprise,admin_review,[],False,False,7.2,7.2,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_enterprise,embedding_only,project,prj_005,enterprise,admin_review,[],False,False,27.45,27.45,5,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,0.0
prj_005_to_enterprise,hybrid,project,prj_005,enterprise,admin_review,[],False,False,1649.85,1649.85,5,0.7142857142857143,0.2,1.0,0.0,0.0,0.0,0.0,0.0
exp_001_to_project,random,expert,exp_001,project,admin_review,[],False,False,1970.69,1970.69,5,0.7142857142857143,0.8,1.0,1.0,0.4,1.0,0.7415914148287854,1.0
exp_001_to_project,topic_overlap,expert,exp_001,project,admin_review,[],False,False,10.35,10.35,2,0.2857142857142857,0.0,1.0,1.0,0.5,0.5,0.7039180890341347,1.0
exp_001_to_project,embedding_only,expert,exp_001,project,admin_review,[],False,False,34.92,34.92,5,0.7142857142857143,0.0,1.0,1.0,0.2,0.5,0.7039180890341347,1.0
exp_001_to_project,hybrid,expert,exp_001,project,admin_review,[],False,False,2583.28,2583.28,5,0.7142857142857143,0.8,1.0,0.3333333333333333,0.4,1.0,0.5378003827621997,1.0
exp_006_to_project,random,expert,exp_006,project,admin_review,[],False,False,1892.65,1892.65,5,0.7142857142857143,0.6,1.0,0.3333333333333333,0.2,0.5,0.13770577618809332,1.0
exp_006_to_project,topic_overlap,expert,exp_006,project,admin_review,[],False,False,7.33,7.33,1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0
exp_006_to_project,embedding_only,expert,exp_006,project,admin_review,[],False,False,26.98,26.98,5,0.7142857142857143,0.0,1.0,0.3333333333333333,0.4,1.0,0.531730627995306,1.0
exp_006_to_project,hybrid,expert,exp_006,project,admin_review,[],False,False,1951.47,1951.47,5,0.7142857142857143,0.6,1.0,0.5,0.4,1.0,0.6278397607958708,1.0
hybrid_exp_001_to_project,random,expert,exp_001,project,admin_review,['hybrid_ready'],True,False,2254.48,2254.48,5,0.7142857142857143,0.6,1.0,1.0,0.2,0.5,0.46927872602275644,1.0
hybrid_exp_001_to_project,topic_overlap,expert,exp_001,project,admin_review,['hybrid_ready'],True,False,6.56,6.56,2,0.2857142857142857,0.0,1.0,1.0,0.5,0.5,0.7039180890341347,1.0
